2023-05-07 21:17:05,836 | DEBUG:PROBANDO SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 48|
2023-05-07 21:17:05,836 | DEBUG:EL SERVIDOR http://192.168.1.183:3313/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 50|
2023-05-07 21:17:05,836 | DEBUG:ENVIANDO SOLICITUD AL SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 52|
2023-05-07 21:17:05,836 | DEBUG:CONECTADO AL SERVIDOR: http://192.168.1.183:3313/RPC2 Y ENVIANDO EL TEXTO... | ThreadPoolExecutor-0_1 | solicitud | 54|
2023-05-07 21:17:09,028 | DEBUG:RECIBIENDO TEXTO CIFRADO DEL SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 57|
2023-05-07 21:17:09,029 | DEBUG:EL SERVIDOR http://192.168.1.183:3313/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 59|
2023-05-07 21:17:09,029 | DEBUG:RETORNANDO TEXTO CIFRADO AL CLIENTE ... | ThreadPoolExecutor-0_1 | solicitud | 61|
2023-05-07 21:17:09,208 | DEBUG:ESTAS EN GSC EN LA FUNCION SOLICITUD ... | ThreadPoolExecutor-0_1 | solicitud | 45|
2023-05-07 21:17:09,208 | DEBUG:PROBANDO SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 48|
2023-05-07 21:17:09,208 | DEBUG:EL SERVIDOR http://192.168.1.183:3313/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 50|
2023-05-07 21:17:09,208 | DEBUG:ENVIANDO SOLICITUD AL SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 52|
2023-05-07 21:17:09,208 | DEBUG:CONECTADO AL SERVIDOR: http://192.168.1.183:3313/RPC2 Y ENVIANDO EL TEXTO... | ThreadPoolExecutor-0_1 | solicitud | 54|
2023-05-07 21:17:12,390 | DEBUG:RECIBIENDO TEXTO CIFRADO DEL SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 57|
2023-05-07 21:17:12,390 | DEBUG:EL SERVIDOR http://192.168.1.183:3313/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 59|
2023-05-07 21:17:12,390 | DEBUG:RETORNANDO TEXTO CIFRADO AL CLIENTE ... | ThreadPoolExecutor-0_1 | solicitud | 61|
2023-05-07 21:17:57,123 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:04,093 | DEBUG:ESTAS EN GSC EN LA FUNCION SOLICITUD ... | ThreadPoolExecutor-0_1 | solicitud | 45|
2023-05-07 21:18:04,093 | DEBUG:PROBANDO SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 48|
2023-05-07 21:18:04,093 | DEBUG:PROBANDO SERVIDOR http://192.168.1.75:3312/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 48|
2023-05-07 21:18:04,093 | DEBUG:EL SERVIDOR http://192.168.1.75:3312/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 50|
2023-05-07 21:18:04,093 | DEBUG:ENVIANDO SOLICITUD AL SERVIDOR http://192.168.1.75:3312/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 52|
2023-05-07 21:18:04,094 | DEBUG:CONECTADO AL SERVIDOR: http://192.168.1.75:3312/RPC2 Y ENVIANDO EL TEXTO... | ThreadPoolExecutor-0_1 | solicitud | 54|
2023-05-07 21:18:04,291 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:08,497 | DEBUG:RECIBIENDO TEXTO CIFRADO DEL SERVIDOR http://192.168.1.75:3312/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 57|
2023-05-07 21:18:08,497 | DEBUG:EL SERVIDOR http://192.168.1.75:3312/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 59|
2023-05-07 21:18:08,497 | DEBUG:RETORNANDO TEXTO CIFRADO AL CLIENTE ... | ThreadPoolExecutor-0_1 | solicitud | 61|
2023-05-07 21:18:08,657 | DEBUG:ESTAS EN GSC EN LA FUNCION SOLICITUD ... | ThreadPoolExecutor-0_1 | solicitud | 45|
2023-05-07 21:18:08,658 | DEBUG:PROBANDO SERVIDOR http://192.168.1.183:3313/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 48|
2023-05-07 21:18:08,658 | DEBUG:PROBANDO SERVIDOR http://192.168.1.75:3312/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 48|
2023-05-07 21:18:08,658 | DEBUG:EL SERVIDOR http://192.168.1.75:3312/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 50|
2023-05-07 21:18:08,658 | DEBUG:ENVIANDO SOLICITUD AL SERVIDOR http://192.168.1.75:3312/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 52|
2023-05-07 21:18:08,658 | DEBUG:CONECTADO AL SERVIDOR: http://192.168.1.75:3312/RPC2 Y ENVIANDO EL TEXTO... | ThreadPoolExecutor-0_1 | solicitud | 54|
2023-05-07 21:18:12,884 | DEBUG:RECIBIENDO TEXTO CIFRADO DEL SERVIDOR http://192.168.1.75:3312/RPC2 ... | ThreadPoolExecutor-0_1 | solicitud | 57|
